,Epoch,Generator Loss,Discriminator Loss
0,0,0.7835387587547302,-0.02058747038245201
1,1,0.8276651501655579,-0.04206094145774841
2,2,0.7995799779891968,-0.08617136627435684
3,3,0.841400146484375,-0.11591646075248718
4,4,0.7556714415550232,-0.1981431245803833
5,5,0.7616192102432251,-0.23087826371192932
6,6,0.7038807272911072,-0.29100945591926575
7,7,0.7555797100067139,-0.3395424485206604
8,8,0.6890046000480652,-0.4229050874710083
9,9,0.6083550453186035,-0.4602392017841339
10,10,0.5577561855316162,-0.5719791650772095
11,11,0.47879600524902344,-0.5747122764587402
12,12,0.3918948769569397,-0.5429700613021851
13,13,0.19813141226768494,-0.6954606175422668
14,14,0.11252576112747192,-0.5786181092262268
15,15,0.0280112624168396,-0.7156339287757874
16,16,-0.2479715347290039,-0.7448151707649231
17,17,-0.41414785385131836,-0.5177615880966187
18,18,-0.4449978470802307,-0.5741158723831177
19,19,-0.4974740147590637,-0.7147372961044312
20,20,-0.832551121711731,-0.4512542486190796
21,21,-0.8571274280548096,-0.5155830383300781
22,22,-1.0488574504852295,-0.28223717212677
23,23,-1.0897185802459717,-0.3270658254623413
24,24,-1.0468347072601318,-0.5365535020828247
25,25,-1.222497582435608,-0.2856084108352661
26,26,-1.0500726699829102,-0.2965559959411621
27,27,-1.1591984033584595,-0.15958106517791748
28,28,-1.131880521774292,-0.37664997577667236
29,29,-1.0047228336334229,-0.30061936378479004
30,30,-1.2139590978622437,-0.06923043727874756
31,31,-1.1957926750183105,-0.03615736961364746
32,32,-1.09183669090271,-0.06310546398162842
33,33,-1.206941843032837,0.056177377700805664
34,34,-1.3230233192443848,0.11103904247283936
35,35,-1.2938752174377441,0.17971062660217285
36,36,-1.293471097946167,0.25827527046203613
37,37,-1.1908764839172363,0.21181964874267578
38,38,-1.323772668838501,0.13403236865997314
39,39,-1.1569795608520508,0.13943791389465332
40,40,-1.2043673992156982,0.11789119243621826
41,41,-1.256935477256775,-0.037214040756225586
42,42,-1.1495022773742676,0.12369120121002197
43,43,-1.1175256967544556,0.2640409469604492
44,44,-1.0511131286621094,0.1564575433731079
45,45,-1.0357880592346191,0.16323232650756836
46,46,-0.904532790184021,-0.14334475994110107
47,47,-0.7532674074172974,0.09040403366088867
48,48,-0.7491142749786377,0.00658261775970459
49,49,-0.8376146554946899,-0.097412109375
50,50,-0.7113815546035767,-0.0025000572204589844
51,51,-0.7890338897705078,-0.019173383712768555
52,52,-0.6837213635444641,0.02383601665496826
53,53,-0.8607063889503479,0.07445681095123291
54,54,-0.724524974822998,0.165228009223938
55,55,-0.8206291198730469,0.07423341274261475
56,56,-0.8523297309875488,0.20432424545288086
57,57,-0.9749066829681396,0.24620318412780762
58,58,-0.8067431449890137,0.21732711791992188
59,59,-0.9396013617515564,0.12949776649475098
60,60,-0.9599547386169434,0.3280264139175415
61,61,-0.9368099570274353,0.11741983890533447
62,62,-0.8623775243759155,0.16337859630584717
63,63,-1.0779584646224976,0.19233179092407227
64,64,-0.9538246393203735,0.05791425704956055
65,65,-0.9556769132614136,0.2253056764602661
66,66,-0.8831236362457275,0.2433544397354126
67,67,-0.9460738897323608,0.09078729152679443
68,68,-0.9190894365310669,-0.05079984664916992
69,69,-0.8405269384384155,0.10621047019958496
70,70,-0.8553382158279419,0.12518823146820068
